win_idx,t_start,t_end,p_stress,p_stress_smooth,p_high_flag,mean_hr,sdnn,rmssd,pnn50,pen_sum,pen_cnt,pen_rate_per_min
0,58.64,118.64,0.6450621776242519,0.6450621776242519,0,74.79987009580319,18.384207966747407,11.636433074233176,0.0,32.0,3,32.0
1,118.74,178.74,0.306724357746912,0.47589326768558193,0,74.89472907343213,18.67586283481175,13.313106262545723,0.0,148.0,3,147.99999999999997
2,178.84,238.84,0.1884036469670035,0.24756400235695775,0,74.95493072505803,18.641508403769272,13.739380441215044,0.0,58.0,1,58.0
3,238.93,298.93,0.1739989117613087,0.1812012793641561,0,74.92810960275338,19.443492354297486,15.909020002851165,0.0,0.0,0,0.0
4,299.03,359.03,0.1553892333443991,0.1646940725528539,0,81.27383162902731,24.513525966831622,29.255734675082454,0.0847457627118644,52.0,2,52.0
5,359.13,419.13,0.154326962282128,0.15485809781326354,0,80.71763553131669,25.36001434079346,24.398926055424987,0.03389830508474576,303.0,3,303.0
6,419.23,479.23,0.194268846304529,0.1742979042933285,0,80.56756799584299,26.79709748691099,27.54083435575586,0.06779661016949153,402.0,3,402.0
7,479.32,539.3199999999999,0.6120754999252865,0.4031721731149078,0,74.93378920642422,17.318482962764886,15.969125988138279,0.0,185.0,1,185.0000000000002
8,539.42,599.42,0.8052201508166525,0.7086478253709696,0,74.80645344418514,19.185753983491086,14.530398908520747,0.0,0.0,0,0.0
9,599.52,659.52,0.5772088483374681,0.6912144995770604,1,74.95312049396873,17.937146225357576,16.96683908064358,0.0,0.0,0,0.0
10,659.61,719.61,0.6914082350530882,0.6343085416952782,1,74.71345145060518,19.78044567228589,13.958819548531087,0.0,0.0,0,0.0
11,719.71,779.71,0.8875924083987663,0.7895003217259273,1,,,,,0.0,0,0.0
12,779.81,839.81,0.7600297245705729,0.8238110664846696,1,,,,,0.0,0,0.0
13,839.91,899.91,0.5646912094772599,0.6623604670239165,1,,,,,0.0,0,0.0
